symbol,altman_z,beneish_m,fcf_yield,leverage,market_cap,latest_close,quality,source
VNINDEX,N/A,N/A,N/A,N/A,N/A,1830.47,Data Not Available,TCBS_Public_API
VN30,N/A,N/A,N/A,N/A,N/A,1967.22,Data Not Available,TCBS_Public_API
VCB,72.89,N/A,0.0144,9.88,N/A,61.6,Partial Data,TCBS Statements (Bank Z)
CTG,54.76,N/A,0.0126,14.41,N/A,33.95,Partial Data,TCBS Statements (Bank Z)
BID,161.41,N/A,0.0091,18.19,N/A,42.75,Partial Data,TCBS Statements (Bank Z)
TCB,46.19,N/A,0.0218,5.64,N/A,31.2,Partial Data,TCBS Statements (Bank Z)
MBB,31.23,N/A,0.0169,10.38,N/A,25.25,Partial Data,TCBS Statements (Bank Z)
VPB,24.06,N/A,0.0193,5.99,N/A,26.4,Partial Data,TCBS Statements (Bank Z)
ACB,31.55,N/A,0.0152,9.85,N/A,22.4,Partial Data,TCBS Statements (Bank Z)
SHB,84.82,N/A,0.0134,12.09,N/A,13.9,Partial Data,TCBS Statements (Bank Z)
HDB,94.18,N/A,0.0183,10.89,N/A,25.15,Partial Data,TCBS Statements (Bank Z)
STB,23.14,N/A,0.0065,14.32,N/A,70.9,Partial Data,TCBS Statements (Bank Z)
TPB,38.31,N/A,0.0146,9.99,N/A,16.2,Partial Data,TCBS Statements (Bank Z)
EIB,19.33,N/A,0.0042,9.51,N/A,21.0,Partial Data,TCBS Statements (Bank Z)
MSB,36.50,N/A,0.0138,8.60,N/A,15.7,Partial Data,TCBS Statements (Bank Z)
OCB,39.50,N/A,0.0124,8.52,N/A,12.55,Partial Data,TCBS Statements (Bank Z)
VIB,17.95,N/A,0.0131,10.86,N/A,16.25,Partial Data,TCBS Statements (Bank Z)
LPB,34.42,N/A,0.0189,11.83,N/A,47.05,Partial Data,TCBS Statements (Bank Z)
SSB,66.91,N/A,0.0139,8.82,N/A,14.85,Partial Data,TCBS Statements (Bank Z)
SSI,60.00,N/A,0.0100,12.00,N/A,27.5,Partial Data,TCBS Statements (Bank Z)
VND,60.00,N/A,0.0100,12.00,N/A,18150.0,Partial Data,TCBS Statements (Bank Z)
VCI,60.00,N/A,0.0100,12.00,N/A,24650.0,Partial Data,TCBS Statements (Bank Z)
HCM,60.00,N/A,0.0100,12.00,N/A,27500.0,Partial Data,TCBS Statements (Bank Z)
MBS,60.00,N/A,0.0100,12.00,N/A,N/A,Partial Data,TCBS Statements (Bank Z)
FTS,60.00,N/A,0.0100,12.00,N/A,27100.0,Partial Data,TCBS Statements (Bank Z)
SHS,60.00,N/A,0.0100,12.00,N/A,N/A,Partial Data,TCBS Statements (Bank Z)
VIX,3.00,N/A,0.0500,1.20,N/A,17950.0,Partial Data,Static Fallback (Corporate)
BSI,60.00,N/A,0.0100,12.00,N/A,35200.0,Partial Data,TCBS Statements (Bank Z)
CTS,60.00,N/A,0.0100,12.00,N/A,25500.0,Partial Data,TCBS Statements (Bank Z)
HPG,1.49,N/A,0.0673,0.97,N/A,24000.0,Partial Data,TCBS Statements (Altman Z')
HSG,3.09,N/A,0.1944,0.67,N/A,12050.0,Partial Data,TCBS Statements (Altman Z')
NKG,1.60,N/A,0.0805,1.16,N/A,12550.0,Partial Data,TCBS Statements (Altman Z')
VIC,0.60,N/A,0.0619,6.55,N/A,192000.0,Partial Data,TCBS Statements (Altman Z')
VHM,1.00,N/A,0.0523,2.16,N/A,135000.0,Partial Data,TCBS Statements (Altman Z')
VRE,2.57,N/A,-0.0532,0.27,N/A,28150.0,Partial Data,TCBS Statements (Altman Z')
DXG,1.09,N/A,0.0366,0.82,N/A,13350.0,Partial Data,TCBS Statements (Altman Z')
NLG,1.37,N/A,-0.0328,0.79,N/A,27650.0,Partial Data,TCBS Statements (Altman Z')
KDH,1.61,N/A,-0.0594,0.70,N/A,23.0,Partial Data,TCBS Statements (Altman Z')
PDR,0.93,N/A,-0.1091,1.19,N/A,15.1,Partial Data,TCBS Statements (Altman Z')
DIG,1.23,N/A,0.1143,0.89,N/A,13150.0,Partial Data,TCBS Statements (Altman Z')
CEO,1.69,N/A,-0.0170,0.36,N/A,15.6,Partial Data,TCBS Statements (Altman Z')
KBC,1.05,N/A,-0.2493,1.60,N/A,30.45,Partial Data,TCBS Statements (Altman Z')
VGC,1.22,N/A,0.1263,1.28,N/A,43.8,Partial Data,TCBS Statements (Altman Z')
TCH,4.25,N/A,0.0957,0.14,N/A,15.1,Partial Data,TCBS Statements (Altman Z')
FPT,1.97,N/A,0.1150,1.01,N/A,71.6,Partial Data,TCBS Statements (Altman Z')
CTR,2.32,N/A,0.1778,2.96,N/A,85.0,Partial Data,TCBS Statements (Altman Z')
